	T(a.u.)	X(a.u.)	Y(a.u.)	Z(a.u.)	Vx(a.u.)	Vy(a.u.)	Vz(a.u.)
0	0.0	-6.093582887700535	-6.093582887700535	-6.093582887700535	-0.8060595915634415	-0.8060595915634415	-0.8060595915634415
1	0.010003334444814937	-6.144354642634889	-6.144354642634889	-6.144354642634889	-0.8047713684806885	-0.8047367049032119	-0.8047229345764532
2	0.020006668889629875	-6.1950452554957005	-6.1950430721203285	-6.195042204760567	-0.8035030958253986	-0.8034347647644067	-0.8034058392231662
3	0.030010003334444816	-6.24565598291241	-6.245649495527857	-6.245646806217824	-0.8022541341655611	-0.8021534264361782	-0.8021078949218884
4	0.04001333777925975	-6.296188041238175	-6.296175210515972	-6.296169653285365	-0.8010238905553853	-0.80089235814228	-0.8008287358788432
5	0.050016672224074694	-6.346642609477923	-6.34662149384538	-6.3466119292014245	-0.799811817079384	-0.7996512372175749	-0.7995680358641782
6	0.06002000666888963	-6.397020832124703	-6.396989601952892	-6.396974796655802	-0.7986174090790755	-0.7984297466527734	-0.7983255029616195
7	0.07002334111370456	-6.447323821884338	-6.4472807713076605	-6.447259399951193	-0.7974402030854654	-0.7972275720282715	-0.797100874353177
8	0.0800266755585195	-6.497552662269857	-6.497496218574308	-6.49746686683602	-0.79627977448493	-0.7960443988539386	-0.7958939112011116
9	0.09003001000333445	-6.547708410048897	-6.547637140608478	-6.547598310014892	-0.795135734950731	-0.794879910326759	-0.7947043936891033
10	0.10003334444814939	-6.597792097529327	-6.597704714311154	-6.597654828346715	-0.7940077296768637	-0.7937337855124532	-0.793532116282952
11	0.11003667889296431	-6.647804734670639	-6.647700096368442	-6.647637507744292	-0.7928954344549998	-0.7926056979507791	-0.7923768832680409
12	0.12004001333777926	-6.697747311011224	-6.697624422903501	-6.697547421792832	-0.7917985526386366	-0.7914953146773481	-0.7912385046161058
13	0.1300433477825942	-6.74762079740442	-6.747478809066866	-6.74738563210812	-0.7907168120409828	-0.7904022956477701	-0.7901167922276344
14	0.14004668222740912	-6.797426147559179	-6.797264348590492	-6.797153188458005	-0.789649961814377	-0.7893262935430349	-0.7890115565885827
15	0.15005001667222406	-6.847164299384156	-6.846982113329545	-6.846851128673305	-0.7885977693590389	-0.7882669539285531	-0.7879226038712771
16	0.160053351117039	-6.89683617613711	-6.8966331528142115	-6.896480478376096	-0.787560017307605	-0.7872239157334792	-0.7868497334996682
17	0.17005668556185397	-6.94644268738435	-6.94621849383169	-6.946042250554652	-0.7865365006292351	-0.7861968120120708	-0.7857927361888749
18	0.1800600200066689	-6.995984729777786	-6.995739140056152	-6.995537445014896	-0.7855270238931644	-0.785185270945095	-0.7847513924586008
19	0.19006335445148384	-7.045463187659615	-7.045196071741768	-7.044967047738214	-0.7845313987265868	-0.7841889170367983	-0.7837254716099166
20	0.20006668889629878	-7.094878933506884	-7.094590245491135	-7.094332030174823	-0.7835494414958811	-0.7832073724617855	-0.7827147311454566
